자치구,분류,위도,경도
성북구,경찰서,37.6039243,127.040034
성북구,경찰서,37.5898112,127.016317
성북구,파출소,37.5932629,126.998665
성북구,파출소,37.6000706,127.031233
성북구,파출소,37.6160667,127.008586
성북구,파출소,37.6089548,127.055235
성북구,파출소,37.6045519,127.010703
성북구,지구대,37.6193979,127.053815
성북구,지구대,37.5972628,127.012378
성북구,지구대,37.6106146,127.01922
성북구,지구대,37.6043861,127.03239
성북구,지구대,37.5866668,127.016577
송파구,경찰서,37.5019434,127.127129
송파구,파출소,37.5201493,127.112375
송파구,파출소,37.4969275,127.148211
송파구,파출소,37.5068709,127.128076
송파구,파출소,37.5341373,127.117069
송파구,파출소,37.4778563,127.145811
송파구,파출소,37.4851649,127.128865
송파구,지구대,37.5120739,127.08213
송파구,지구대,37.5026958,127.09275
송파구,지구대,37.4781841,127.126977
송파구,지구대,37.5102341,127.125707
송파구,지구대,37.4979368,127.12442
양천구,경찰서,37.5167268,126.865646
양천구,파출소,37.5320636,126.83222
양천구,파출소,37.514894,126.854983
양천구,파출소,37.5390261,126.830665
양천구,지구대,37.5244459,126.863584
양천구,지구대,37.5445006,126.862359
양천구,지구대,37.5197238,126.834883
양천구,지구대,37.520271,126.860775
양천구,지구대,37.5351753,126.878567
영등포구,경찰서,37.5259793,126.901027
영등포구,파출소,37.5133837,126.901439
영등포구,파출소,37.5226985,126.889685
영등포구,파출소,37.4983161,126.898056
영등포구,지구대,37.5281241,126.925754
영등포구,지구대,37.5180018,126.907519
영등포구,지구대,37.5335929,126.901265
영등포구,지구대,37.4991209,126.912767
영등포구,지구대,37.5134659,126.914119
영등포구,지구대,37.5135516,126.897605
영등포구,지구대,37.4934062,126.898707
용샨구,경찰서,37.5410367,126.967381
용샨구,파출소,37.5342749,126.994379
용샨구,파출소,37.5361011,126.97469
용샨구,파출소,37.5311846,127.006236
용샨구,파출소,37.526968,127.00007
용샨구,지구대,37.5386485,126.965481
용샨구,지구대,37.5491122,126.978456
은평구,경찰서,37.6020294,126.921297
은평구,경찰서,37.6281627,126.92861
은평구,파출소,37.6391944,126.920521
은평구,파출소,37.6043767,126.915179
은평구,파출소,37.6111253,126.928966
은평구,파출소,37.5905122,126.917516
은평구,파출소,37.6087665,126.931845
은평구,지구대,37.6214581,126.926577
은평구,지구대,37.5917913,126.905343
은평구,지구대,37.6015643,126.926439
은평구,지구대,37.6151776,126.912686
종로구,경찰서,37.5759898,126.984685
종로구,경찰서,37.5720266,126.998836
종로구,파출소,37.5860911,127.001383
종로구,파출소,37.5813862,126.981106
종로구,파출소,37.5707202,127.001609
종로구,파출소,37.5785768,127.006013
종로구,파출소,37.5892805,126.99759
종로구,파출소,37.6052319,126.966604
종로구,파출소,37.5726383,127.01697
종로구,파출소,37.5729622,126.982648
종로구,파출소,37.5767537,126.973976
종로구,파출소,37.574387,127.009295
종로구,파출소,37.5765542,126.969017
종로구,파출소,37.5784771,127.01353
종로구,파출소,37.5841229,126.970577
종로구,파출소,37.6000215,126.958431
종로구,파출소,37.5717949,126.962182
종로구,파출소,37.5814557,126.969412
종로구,파출소,37.5688094,126.988094
종로구,파출소,37.5707346,126.972189
종로구,파출소,37.5729276,127.004847
종로구,지구대,37.5704853,126.988897
중구,경찰서,37.5635748,126.989713
중구,경찰서,37.5548055,126.973644
중구,파출소,37.5680153,126.980035
중구,파출소,37.565025,127.016357
중구,파출소,37.5635651,126.983941
중구,파출소,37.5594011,126.976223
중구,파출소,37.5661609,126.992826
중구,파출소,37.5637978,126.975475
중구,파출소,37.5567962,126.97155
중구,파출소,37.560836,126.991559
중구,파출소,37.5578671,126.967113
중구,파출소,37.5689246,126.976401
중구,파출소,37.5583294,126.97851
중구,파출소,37.5588001,127.004857
중구,지구대,37.5652506,127.013358
중구,지구대,37.5664585,127.003918
중구,지구대,37.5521323,127.012337
중랑구,경찰서,37.6182113,127.104434
중랑구,파출소,37.5881992,127.093874
중랑구,파출소,37.5831789,127.084131
중랑구,파출소,37.6146071,127.081516
중랑구,파출소,37.5913222,127.072818
중랑구,파출소,37.6062391,127.078245
중랑구,지구대,37.5990817,127.095654
중랑구,지구대,37.5979809,127.072178
중랑구,지구대,37.5800274,127.081399
중랑구,지구대,37.6147769,127.095538
강남구,경찰서,37.50940206,127.0671667
강남구,경찰서,37.49352469,127.0772222
강남구,파출소,37.5293685,127.0355919
강남구,파출소,37.51839944,127.0241364
강남구,파출소,37.51484769,127.0605573
강남구,파출소,37.5138865,127.0292985
강남구,파출소,37.512364,127.0433261
강남구,파출소,37.52080638,127.0542811
강남구,파출소,37.51518948,127.0338631
강남구,파출소,37.48912904,127.1048189
강남구,파출소,37.46518919,127.1073796
강남구,지구대,37.50829454,127.0410023
강남구,지구대,37.50135132,127.0437099
강남구,지구대,37.49488708,127.0626474
강남구,지구대,37.47977821,127.0511593
강남구,지구대,37.49242803,127.0833952
강동구,경찰서,37.52871093,127.1269917
강동구,파출소,37.55624247,127.1657441
강동구,파출소,37.55363602,127.1560566
강동구,파출소,37.55733575,127.1517268
강동구,파출소,37.52535117,127.1456578
강동구,파출소,37.56485883,127.1731826
강동구,지구대,37.52945175,127.1392114
강동구,지구대,37.52839784,127.1269855
강북구,경찰서,37.63742007,127.027384
강북구,파출소,37.63596816,127.0325922
강북구,파출소,37.62483056,127.0181925
강북구,파출소,37.63067806,127.0175794
강북구,파출소,37.63946332,127.0124178
강북구,파출소,37.6236396,127.0481426
강북구,파출소,37.61607855,127.0086336
강북구,파출소,37.6045705,127.0107217
강북구,지구대,37.61632498,127.0304033
강북구,지구대,37.61060379,127.0192763
강서구,경찰서,37.55132365,126.849881
강서구,파출소,37.54472462,126.8352574
강서구,파출소,37.57980591,126.8146778
강서구,파출소,37.54480606,126.8618803
강서구,지구대,37.55188974,126.8674039
강서구,지구대,37.52936076,126.8455835
강서구,지구대,37.5517613,126.8504035
강서구,지구대,37.56237276,126.8083063
관악구,경찰서,37.47455779,126.9510488
관악구,파출소,37.47993034,126.9156068
관악구,파출소,37.4611243,126.9192591
관악구,파출소,37.47469425,126.9778447
관악구,지구대,37.48830645,126.9314445
관악구,지구대,37.48402097,126.9332998
관악구,지구대,37.47383161,126.9352025
광진구,경찰서,37.54291761,127.0839295
광진구,파출소,37.53385716,127.0716096
광진구,파출소,37.53663792,127.0769159
광진구,파출소,37.56017348,127.0814249
광진구,파출소,37.53519746,127.0636343
광진구,파출소,37.56533877,127.0872682
광진구,파출소,37.54589641,127.0916785
광진구,파출소,37.56373824,127.0827728
광진구,파출소,37.56881265,127.0801495
광진구,지구대,37.54446323,127.1033064
광진구,지구대,37.54662,127.0713191
구로구,경찰서,37.49487862,126.886675
구로구,파출소,37.48669286,126.8913458
구로구,파출소,37.48383354,126.842568
구로구,파출소,37.47919541,126.8926569
구로구,지구대,37.50226644,126.8839128
구로구,지구대,37.49180937,126.8564456
금천구,경찰서,37.45727302,126.8968051
금천구,파출소,37.4542257,126.8998354
금천구,파출소,37.47994574,126.8880599
금천구,파출소,37.46464374,126.8947575
금천구,지구대,37.46953464,126.903455
금천구,지구대,37.45105975,126.9125992
노원구,지구대,37.6420141,127.068345
노원구,지구대,37.6336489,127.059252
노원구,지구대,37.6225493,127.074558
노원구,지구대,37.654989,127.066918
노원구,지구대,37.652415,127.077307
노원구,지구대,37.6645682,127.06356
노원구,파출소,37.6714703,127.077836
노원구,파출소,37.6796547,127.055025
노원구,경찰서,37.6423368,127.071235
도봉구,지구대,37.6522755,127.051696
도봉구,파출소,37.6435061,127.034547
도봉구,파출소,37.6644612,127.039963
도봉구,파출소,37.6584822,127.02712
도봉구,파출소,37.6839729,127.049258
